ent,ent_nombre,mun,mun_nom,iaim
01,Aguascalientes,001,Aguascalientes,1.92
01,Aguascalientes,002,Asientos,5.18
01,Aguascalientes,003,Calvillo,12.147
01,Aguascalientes,004,Cosío,4.182
01,Aguascalientes,005,Jesús María,3.323
01,Aguascalientes,006,Pabellón de Arteaga,4.741
01,Aguascalientes,007,Rincón de Romos,4.98
01,Aguascalientes,008,San José de Gracia,8.448
01,Aguascalientes,009,Tepezalá,5.33
01,Aguascalientes,010,El Llano,6.532
01,Aguascalientes,011,San Francisco de los Romo,4.269
02,Baja California,001,Ensenada,2.214
02,Baja California,002,Mexicali,2.03
02,Baja California,003,Tecate,3.309
02,Baja California,004,Tijuana,2.059
02,Baja California,005,Playas de Rosarito,3.486
02,Baja California,006,San Quintín,
03,Baja California Sur,001,Comondú,0.68
03,Baja California Sur,002,Mulegé,0.99
03,Baja California Sur,003,La Paz,0.586
03,Baja California Sur,008,Los Cabos,1.335
03,Baja California Sur,009,Loreto,0.664
04,Campeche,001,Calkiní,0.214
04,Campeche,002,Campeche,0.351
04,Campeche,003,Carmen,0.288
04,Campeche,004,Champotón,0.901
04,Campeche,005,Hecelchakán,0.08
04,Campeche,006,Hopelchén,0.253
04,Campeche,007,Palizada,0.058
04,Campeche,008,Tenabo,0.103
04,Campeche,009,Escárcega,2.581
04,Campeche,010,Calakmul,2.65
04,Campeche,011,Candelaria,2.277
04,Campeche,012,Seybaplaya,
05,Coahuila de Zaragoza,001,Abasolo,5.697
05,Coahuila de Zaragoza,002,Acuña,1.892
05,Coahuila de Zaragoza,003,Allende,3.668
05,Coahuila de Zaragoza,004,Arteaga,1.055
05,Coahuila de Zaragoza,005,Candela,1.427
05,Coahuila de Zaragoza,006,Castaños,2.283
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,1.898
05,Coahuila de Zaragoza,008,Escobedo,4.006
05,Coahuila de Zaragoza,009,Francisco I. Madero,1.139
05,Coahuila de Zaragoza,010,Frontera,1.167
05,Coahuila de Zaragoza,011,General Cepeda,0.634
05,Coahuila de Zaragoza,012,Guerrero,3.691
05,Coahuila de Zaragoza,013,Hidalgo,2.151
05,Coahuila de Zaragoza,014,Jiménez,4.37
05,Coahuila de Zaragoza,015,Juárez,2.982
05,Coahuila de Zaragoza,016,Lamadrid,2.22
05,Coahuila de Zaragoza,017,Matamoros,1.938
05,Coahuila de Zaragoza,018,Monclova,1.418
05,Coahuila de Zaragoza,019,Morelos,2.46
05,Coahuila de Zaragoza,020,Múzquiz,1.913
05,Coahuila de Zaragoza,021,Nadadores,1.6
05,Coahuila de Zaragoza,022,Nava,2.676
05,Coahuila de Zaragoza,023,Ocampo,1.678
05,Coahuila de Zaragoza,024,Parras,0.467
05,Coahuila de Zaragoza,025,Piedras Negras,2.88
05,Coahuila de Zaragoza,026,Progreso,2.773
05,Coahuila de Zaragoza,027,Ramos Arizpe,0.924
05,Coahuila de Zaragoza,028,Sabinas,1.795
05,Coahuila de Zaragoza,029,Sacramento,0.314
05,Coahuila de Zaragoza,030,Saltillo,0.603
05,Coahuila de Zaragoza,031,San Buenaventura,2.181
05,Coahuila de Zaragoza,032,San Juan de Sabinas,2.272
05,Coahuila de Zaragoza,033,San Pedro,2.069
05,Coahuila de Zaragoza,034,Sierra Mojada,1.014
05,Coahuila de Zaragoza,035,Torreón,0.912
05,Coahuila de Zaragoza,036,Viesca,1.011
05,Coahuila de Zaragoza,037,Villa Unión,3.844
05,Coahuila de Zaragoza,038,Zaragoza,3.164
06,Colima,001,Armería,4.517
06,Colima,002,Colima,2.729
06,Colima,003,Comala,4.501
06,Colima,004,Coquimatlán,6.128
06,Colima,005,Cuauhtémoc,5.24
06,Colima,006,Ixtlahuacán,6.227
06,Colima,007,Manzanillo,1.983
06,Colima,008,Minatitlán,4.096
06,Colima,009,Tecomán,3.469
06,Colima,010,Villa de Álvarez,2.662
07,Chiapas,001,Acacoyagua,1.758
07,Chiapas,002,Acala,0.433
07,Chiapas,003,Acapetahua,2.22
07,Chiapas,004,Altamirano,0.377
07,Chiapas,005,Amatán,0.389
