entidad,entidad_nombre,municipio,municipio_nombre,número de códigos postales,códigos postales
01,Aguascalientes,001,Aguascalientes,599,20000;20010;20010;20010;20010;20010;20016;20016;20016;20016;20018;20020;20020;20020;20020;20029;20030;20030;20030;20040;20040;20040;20040;20040;20040;20049;20050;20050;20050;20050;20050;20050;20059;20059;20060;20060;20064;20070;20070;20070;20078;20080;20080;20089;20100;20100;20100;20100;20100;20110;20110;20110;20110;20110;20110;20110;20115;20115;20115;20115;20115;20115;20115;20115;20116;20116;20116;20116;20117;20118;20118;20118;20118;20118;20118;20118;20118;20118;20118;20118;20118;20118;20118;20118;20119;20119;20119;20120;20120;20120;20123;20123;20124;20124;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20126;20127;20128;20129;20130;20130;20130;20130;20130;20130;20130;20130;20130;20130;20130;20130;20130;20130;20135;20135;20136;20137;20138;20138;20138;20138;20140;20140;20140;20146;20149;20150;20150;20150;20150;20150;20157;20157;20158;20158;20158;20158;20159;20159;20160;20160;20164;20169;20169;20170;20170;20170;20170;20170;20170;20170;20170;20172;20172;20172;20172;20172;20172;20174;20174;20174;20174;20174;20174;20174;20174;20174;20174;20174;20174;20175;20175;20175;20175;20175;20177;20179;20179;20179;20179;20179;20179;20179;20179;20180;20180;20180;20180;20180;20180;20180;20180;20190;20190;20190;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20196;20198;20198;20198;20199;20199;20199;20200;20200;20200;20200;20200;20200;20200;20200;20200;20200;20200;20200;20200;20200;20200;20205;20205;20206;20206;20206;20207;20207;20207;20208;20210;20210;20210;20210;20216;20217;20218;20218;20218;20218;20218;20218;20218;20218;20218;20219;20219;20219;20220;20220;20229;20230;20230;20230;20234;20234;20235;20235;20235;20235;20236;20237;20237;20238;20239;20240;20240;20240;20240;20240;20240;20240;20240;20240;20240;20247;20248;20249;20250;20250;20250;20250;20250;20250;20255;20255;20256;20256;20256;20256;20256;20256;20257;20259;20259;20260;20260;20260;20260;20260;20260;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20263;20264;20264;20264;20265;20266;20266;20266;20266;20267;20267;20267;20267;20268;20269;20270;20270;20270;20270;20270;20270;20270;20270;20276;20276;20276;20277;20277;20277;20278;20280;20280;20280;20280;20280;20280;20280;20280;20280;20280;20280;20283;20283;20284;20284;20284;20284;20284;20284;20284;20285;20285;20286;20286;20286;20286;20286;20286;20286;20286;20286;20286;20286;20286;20287;20288;20288;20289;20290;20290;20290;20290;20291;20296;20296;20296;20296;20296;20297;20297;20297;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20298;20299;20299;20299;20299;20299;20299;20299;20299;20299;20310;20310;20310;20310;20310;20313;20313;20314;20316;20316;20319;20320;20320;20320;20323;20324;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20326;20328;20328;20328;20328;20329;20329;20329;20329;20329;20329;20329;20329;20329;20329;20340;20340;20340;20340;20340;20341;20342;20342;20342;20343;20344;20345;20346;20347;20347;20348;20349;20363;20363;20364;20364;20366;20366;20366;20367;20367;20367;20367;20369;20370;20371;20371;20371;20372;20372;20372;20372;20372;20373;20374;20375;20375;20376;20377;20378;20378;20384;20384;20384;20384;20385;20386;20388;20388;20389;20389;20389;20392;20392;20392;20392;20392;20393;20394;20394;20394;20395;20396;20396
01,Aguascalientes,002,Asientos,82,20700;20700;20700;20700;20700;20700;20700;20700;20700;20700;20704;20705;20708;20709;20709;20710;20710;20712;20713;20713;20714;20715;20715;20715;20717;20720;20720;20720;20720;20720;20720;20720;20720;20720;20720;20720;20721;20722;20723;20723;20724;20727;20729;20730;20732;20734;20736;20737;20738;20739;20740;20741;20742;20742;20742;20744;20746;20748;20749;20750;20760;20765;20768;20770;20771;20773;20773;20775;20777;20779;20780;20780;20782;20785;20790;20792;20794;20795;20795;20796;20796;20799
01,Aguascalientes,003,Calvillo,147,20800;20802;20802;20802;20802;20802;20802;20802;20802;20802;20802;20802;20803;20803;20803;20803;20803;20804;20804;20804;20804;20804;20804;20804;20804;20805;20805;20805;20805;20805;20805;20805;20810;20810;20816;20816;20816;20816;20816;20820;20820;20820;20820;20820;20820;20824;20824;20824;20830;20830;20830;20830;20830;20830;20832;20832;20832;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20834;20840;20840;20842;20844;20844;20844;20850;20850;20850;20850;20850;20850;20850;20852;20852;20854;20854;20854;20854;20854;20854;20856;20856;20856;20856;20860;20860;20860;20860;20860;20862;20862;20862;20862;20862;20862;20864;20864;20864;20870;20870;20870;20870;20870;20870;20870;20870;20870;20872;20872;20872;20874;20874;20874;20874;20874;20880;20880;20880;20880;20880;20880;20880;20880;20882;20882;20882;20884;20884;20890
01,Aguascalientes,004,Cosío,22,20460;20462;20466;20466;20467;20468;20469;20469;20469;20470;20470;20470;20472;20472;20472;20472;20472;20476;20476;20478;20478;20478
01,Aguascalientes,005,Jesús María,195,20900;20900;20900;20900;20900;20900;20900;20900;20900;20900;20900;20900;20900;20901;20901;20901;20901;20903;20903;20903;20903;20904;20904;20904;20905;20905;20905;20905;20905;20907;20907;20907;20907;20907;20907;20907;20907;20907;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20908;20909;20909;20909;20909;20909;20909;20909;20909;20909;20909;20909;20910;20910;20913;20913;20913;20913;20913;20914;20916;20916;20916;20916;20917;20920;20922;20922;20922;20922;20923;20923;20923;20923;20923;20923;20923;20923;20923;20923;20923;20923;20923;20924;20924;20924;20924;20924;20924;20925;20925;20925;20925;20925;20925;20925;20925;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20926;20927;20927;20927;20927;20928;20928;20928;20928;20928;20928;20928;20928;20928;20933;20934;20943;20943;20943;20947;20947;20953;20955;20955;20956;20957;20957;20957;20970;20970;20974;20983;20983;20983;20983;20983;20983;20983;20984;20984;20986;20990;20990;20994;20994;20994;20995;20996;20996;20996;20997;20997;20997
01,Aguascalientes,006,Pabellón de Arteaga,53,20663;20663;20664;20665;20665;20665;20665;20665;20666;20666;20667;20667;20668;20668;20668;20668;20668;20668;20670;20673;20673;20673;20673;20674;20674;20674;20675;20675;20676;20676;20676;20677;20677;20678;20678;20678;20678;20678;20678;20680;20680;20680;20683;20683;20683;20683;20684;20684;20684;20684;20686;20686;20687
01,Aguascalientes,007,Rincón de Romos,74,20400;20403;20403;20403;20403;20403;20404;20404;20404;20404;20404;20405;20405;20405;20406;20406;20406;20406;20406;20406;20406;20410;20410;20410;20410;20410;20410;20414;20414;20415;20416;20416;20417;20417;20420;20420;20420;20420;20420;20420;20420;20423;20423;20424;20424;20424;20424;20425;20426;20427;20427;20427;20427;20430;20434;20434;20435;20435;20435;20436;20437;20437;20437;20437;20437;20437;20440;20444;20444;20445;20445;20450;20450;20454
01,Aguascalientes,008,San José de Gracia,26,20500;20501;20502;20503;20504;20506;20508;20508;20508;20510;20516;20520;20534;20538;20538;20540;20545;20564;20567;20570;20574;20576;20578;20580;20584;20590
01,Aguascalientes,009,Tepezalá,30,20600;20602;20603;20603;20603;20604;20607;20608;20610;20610;20614;20614;20614;20615;20615;20615;20616;20620;20622;20634;20637;20637;20645;20650;20656;20656;20657;20658;20658;20659
01,Aguascalientes,010,El Llano,55,20330;20330;20330;20330;20330;20330;20330;20330;20330;20333;20333;20333;20333;20333;20333;20333;20333;20333;20333;20333;20334;20334;20335;20335;20336;20336;20336;20336;20336;20337;20337;20337;20338;20338;20338;20338;20338;20338;20338;20338;20339;20339;20339;20339;20339;20339;20339;20339;20339;20339;20339;20339;20339;20339;20339
