entidad,entidad_nombre,municipio,municipio_nombre,Q1,Q2,Q3
01,Aguascalientes,001,Aguascalientes,14.0,28.0,46.0
01,Aguascalientes,002,Asientos,11.0,24.0,42.0
01,Aguascalientes,003,Calvillo,12.0,27.0,46.0
01,Aguascalientes,004,Cosío,12.0,24.0,42.0
01,Aguascalientes,010,El Llano,12.0,25.0,43.0
01,Aguascalientes,005,Jesús María,12.0,25.0,42.0
01,Aguascalientes,006,Pabellón de Arteaga,12.0,25.0,42.0
01,Aguascalientes,007,Rincón de Romos,11.0,24.0,42.0
01,Aguascalientes,011,San Francisco de los Romo,11.0,24.0,39.0
01,Aguascalientes,008,San José de Gracia,11.0,24.0,42.0
01,Aguascalientes,009,Tepezalá,12.0,24.0,42.0
02,Baja California,001,Ensenada,15.0,30.0,47.0
02,Baja California,002,Mexicali,16.0,30.0,47.0
02,Baja California,005,Playas de Rosarito,15.0,30.0,47.0
02,Baja California,006,San Quintín,11.0,24.0,39.0
02,Baja California,003,Tecate,15.0,30.0,46.0
02,Baja California,004,Tijuana,15.0,29.0,45.0
03,Baja California Sur,001,Comondú,15.0,31.0,48.0
03,Baja California Sur,003,La Paz,16.0,32.0,48.0
03,Baja California Sur,009,Loreto,14.0,31.0,48.0
03,Baja California Sur,008,Los Cabos,13.0,27.0,41.0
03,Baja California Sur,002,Mulegé,13.0,29.0,46.0
04,Campeche,010,Calakmul,10.0,22.0,40.0
04,Campeche,001,Calkiní,14.0,29.0,45.0
04,Campeche,002,Campeche,16.0,31.0,48.0
04,Campeche,011,Candelaria,11.0,25.0,43.0
04,Campeche,003,Carmen,14.0,30.0,45.0
04,Campeche,004,Champotón,12.0,27.0,45.0
04,Campeche,009,Escárcega,12.0,26.0,43.0
04,Campeche,005,Hecelchakán,13.0,29.0,45.0
04,Campeche,006,Hopelchén,11.0,25.0,42.0
04,Campeche,007,Palizada,13.0,29.0,48.0
04,Campeche,012,Seybaplaya,15.0,30.0,47.0
04,Campeche,008,Tenabo,13.0,29.0,45.0
05,Coahuila de Zaragoza,001,Abasolo,18.0,38.0,56.0
05,Coahuila de Zaragoza,002,Acuña,13.0,26.0,43.0
05,Coahuila de Zaragoza,003,Allende,13.0,28.0,48.0
05,Coahuila de Zaragoza,004,Arteaga,13.0,29.0,45.0
05,Coahuila de Zaragoza,005,Candela,13.0,31.0,51.0
05,Coahuila de Zaragoza,006,Castaños,13.0,28.0,47.0
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,12.0,29.0,48.0
05,Coahuila de Zaragoza,008,Escobedo,13.0,29.0,49.0
05,Coahuila de Zaragoza,009,Francisco I. Madero,12.0,27.0,45.0
05,Coahuila de Zaragoza,010,Frontera,13.0,29.0,46.0
05,Coahuila de Zaragoza,011,General Cepeda,13.0,29.0,49.0
05,Coahuila de Zaragoza,012,Guerrero,14.0,32.0,51.0
05,Coahuila de Zaragoza,013,Hidalgo,10.0,24.0,43.0
05,Coahuila de Zaragoza,014,Jiménez,13.0,28.0,47.0
05,Coahuila de Zaragoza,015,Juárez,13.0,30.0,49.0
05,Coahuila de Zaragoza,016,Lamadrid,15.0,35.0,54.0
05,Coahuila de Zaragoza,017,Matamoros,13.0,27.0,45.0
05,Coahuila de Zaragoza,018,Monclova,14.0,30.0,49.0
05,Coahuila de Zaragoza,019,Morelos,13.0,28.0,47.0
05,Coahuila de Zaragoza,020,Múzquiz,13.0,28.0,48.0
05,Coahuila de Zaragoza,021,Nadadores,15.0,32.0,50.0
05,Coahuila de Zaragoza,022,Nava,12.0,26.0,45.0
05,Coahuila de Zaragoza,023,Ocampo,12.0,27.0,47.0
05,Coahuila de Zaragoza,024,Parras,13.0,29.0,49.0
