ent,mun,latitud,longitud,altitud
01,001,22°03´26.004,102°32´18.793,1916
01,002,22°17´45.544,102°12´24.275,2032
01,003,22°06´18.615,102°51´27.923,1817
01,004,22°26´28.061,102°19´26.495,1969
01,005,22°02´50.408,102°35´03.164,1936
01,006,22°10´16.991,102°21´05.063,1912
01,007,22°22´27.166,102°25´54.493,1939
01,008,22°19´05.161,102°40´50.681,2346
01,009,22°19´48.602,102°16´36.163,1950
01,010,22°02´47.763,102°10´05.974,2022
01,011,22°05´14.013,102°18´22.055,1913
02,001,32°16´56.008,116°53´01.587,367
02,002,32°42´58.278,115°51´12.497,24
02,003,32°36´41.749,116°44´47.158,768
02,004,32°32´41.553,117°15´36.000,220
02,005,32°25´32.791,117°05´26.995,111
02,006,31°07´02.157,118°19´37.676,145
03,001,26°34´42.743,112°45´05.489,116
03,002,27°59´10.474,115°10´13.858,264
03,003,25°05´51.613,111°40´17.315,201
03,008,23°39´26.480,110°06´05.419,228
03,009,26°33´12.176,111°46´26.460,185
04,001,20°41´25.798,090°27´08.853,12
04,002,20°12´16.849,091°57´43.908,33
04,003,19°01´17.138,092°27´54.859,14
04,004,19°36´23.023,091°10´54.981,23
04,005,20°14´45.865,090°29´11.201,23
04,006,20°11´14.923,090°02´51.187,112
04,007,18°32´11.618,092°07´58.819,4
04,008,20°05´36.282,090°22´07.150,20
04,009,18°57´42.836,091°01´10.952,76
04,010,19°00´22.772,090°11´13.019,210
04,011,18°29´32.869,091°17´21.062,64
04,012,19°42´28.900,090°42´35.054,10
05,001,27°14´04.340,101°25´55.814,432
05,002,29°50´21.829,102°49´55.160,497
05,003,28°22´40.314,101°01´42.009,398
05,004,25°30´50.220,100°56´10.161,2084
05,005,27°04´11.818,101°02´29.169,487
05,006,26°49´57.561,101°44´59.806,896
05,007,27°13´43.938,103°09´43.188,930
05,008,27°30´08.565,101°28´42.122,443
05,009,26°38´23.930,103°20´45.130,1103
05,010,27°04´04.893,101°35´41.419,560
05,011,25°43´00.556,101°52´14.387,1416
05,012,28°33´19.140,100°38´34.932,265
05,013,28°04´18.285,100°17´36.835,181
05,014,29°16´18.180,101°18´20.077,315
05,015,27°52´44.990,101°00´48.796,277
05,016,27°13´58.635,101°58´45.644,808
05,017,25°45´44.715,103°21´50.785,1116
05,018,27°03´10.894,101°28´42.576,564
05,019,28°27´02.591,101°17´44.184,388
05,020,29°02´09.096,102°34´34.501,612
05,021,27°26´51.439,101°53´02.940,562
05,022,28°38´23.400,100°49´04.741,288
05,023,29°11´33.560,103°35´52.479,1182
05,024,26°03´04.028,102°51´18.430,1402
05,025,28°54´46.890,100°43´42.149,240
05,026,27°41´09.059,101°35´40.099,377
05,027,26°18´30.355,101°46´30.949,1180
05,028,28°14´36.733,101°21´38.239,371
05,029,27°02´03.869,101°48´12.720,599
05,030,25°30´48.479,101°35´14.924,1858
05,031,28°35´27.530,102°24´44.880,682
05,032,28°13´14.888,101°33´22.706,387
05,033,26°29´15.649,103°13´22.647,1094
05,034,28°28´04.368,103°55´07.361,1295
05,035,25°40´38.339,103°30´00.906,1151
05,036,25°32´29.802,103°29´13.546,1169
05,037,28°22´06.561,101°01´35.171,408
05,038,29°20´26.668,101°56´11.245,465
06,001,19°08´26.150,104°06´26.259,53
06,002,19°19´06.000,103°48´21.830,458
06,003,19°28´50.470,103°53´52.130,980
06,004,19°15´51.621,104°02´23.389,329
06,005,19°26´30.050,103°41´23.039,977
06,006,19°03´54.542,103°45´25.000,222
06,007,19°18´12.436,112°03´54.000,117
06,008,19°28´42.531,104°10´49.056,898
06,009,19°06´43.792,114°45´25.000,39
06,010,19°25´23.100,103°59´49.657,740
07,001,15°29´01.477,092°45´34.759,287
07,002,16°38´52.054,092°54´50.358,455
07,003,15°23´14.741,092°53´18.028,16
07,004,16°50´30.289,092°07´20.073,1116
07,005,17°30´24.748,092°55´30.049,560
07,006,15°38´13.271,092°11´37.081,1064
07,007,16°33´50.488,092°28´34.984,2184
07,008,15°52´50.345,092°49´13.820,1115
07,009,16°23´14.844,094°05´37.461,83
07,010,15°32´43.476,092°11´51.980,1916
07,011,15°41´29.688,092°18´55.951,1423
07,012,17°01´31.382,093°25´33.772,882
07,013,17°09´34.664,093°04´00.188,1296
07,014,17°05´21.984,092°48´29.988,1106
07,015,15°11´16.010,092°13´12.935,843
07,016,17°54´50.419,092°10´54.176,20
07,017,17°01´59.988,094°07´14.431,663
07,018,17°10´11.831,093°12´03.349,1371
07,019,16°31´22.159,092°20´32.754,1585
07,020,16°14´35.988,093°07´21.000,860
07,021,17°12´49.501,093°22´41.447,706
07,022,17°05´06.917,092°39´51.609,1320
07,023,16°53´18.009,092°49´22.070,2244
07,024,16°42´36.376,092°20´35.566,2006
07,025,17°24´24.408,093°12´19.642,690
07,026,17°04´03.138,092°41´41.845,1483
07,027,16°54´07.680,093°05´11.004,503
07,028,16°34´58.484,092°45´46.441,473
07,029,17°02´25.394,093°09´21.830,707
07,030,15°56´35.217,092°36´20.406,807
07,031,17°15´34.517,092°23´35.762,978
07,032,15°28´24.238,092°43´20.122,469
07,033,17°21´10.059,093°22´31.363,608
07,034,15°55´21.627,092°14´34.490,652
07,035,14°47´22.371,092°14´47.826,42
07,036,15°33´18.956,092°14´51.567,2137
07,037,15°06´15.498,092°32´53.800,128
07,038,16°46´11.471,092°30´45.957,2048
07,039,17°18´39.996,092°48´39.785,593
07,040,15°17´00.625,092°43´19.674,242
07,041,16°17´59.510,092°01´50.640,1209
07,042,17°20´13.306,093°03´35.466,919
07,043,17°29´01.578,093°08´44.692,277
07,044,16°54´40.975,092°58´59.152,1175
07,045,17°32´23.301,093°02´10.240,309
07,046,16°49´16.440,093°55´17.004,608
07,047,17°09´07.019,092°58´16.663,1430
07,048,17°49´59.118,093°21´11.080,45
07,049,16°59´40.464,092°50´57.098,1909
07,050,17°43´09.066,091°51´04.399,42
07,051,15°38´09.760,093°06´59.394,67
07,052,16°37´07.602,092°08´49.516,1187
07,053,15°27´16.226,092°14´07.265,1780
07,054,14°57´18.821,092°37´22.507,13
07,055,14°51´09.027,092°12´36.979,93
07,056,16°53´23.330,092°37´49.999,1926
07,057,15°25´34.524,092°28´50.512,1374
07,058,16°26´13.463,092°35´07.250,732
07,059,17°11´47.917,092°19´59.027,806
07,060,17°15´36.278,093°12´49.761,1449
07,061,17°08´52.192,093°51´38.529,783
07,062,17°34´06.547,093°32´35.000,174
07,063,16°56´28.222,093°08´27.572,939
07,064,16°53´31.491,092°27´06.930,1827
07,065,17°48´28.530,092°20´22.620,83
07,066,17°07´24.375,092°31´28.739,923
07,067,17°16´01.690,093°06´07.120,1437
07,068,17°40´38.114,093°23´49.090,123
07,069,15°50´35.746,093°28´57.249,59
07,070,15°27´44.150,092°19´39.077,2416
07,071,15°19´48.954,092°42´46.822,111
07,072,17°18´32.959,092°56´18.062,1184
07,073,17°14´07.242,093°02´03.538,1480
07,074,17°58´39.256,093°20´27.201,27
07,075,16°26´34.861,092°26´55.680,1423
07,076,17°25´23.233,092°42´11.130,486
07,077,17°38´46.299,092°28´33.624,120
07,078,16°47´08.025,092°42´46.736,2202
07,079,17°00´08.214,093°18´02.314,876
07,080,15°41´20.080,092°27´11.513,1700
07,081,17°13´22.595,092°49´24.555,725
07,082,17°05´03.915,092°24´31.760,998
07,083,16°16´07.964,092°30´22.387,677
07,084,17°28´45.949,093°02´54.241,373
07,085,16°58´09.560,093°02´05.270,1005
07,086,16°40´20.103,093°13´09.672,556
07,087,14°43´24.906,092°18´56.613,10
07,088,17°31´03.616,093°16´26.444,272
07,089,15°13´18.751,092°27´18.446,375
07,090,17°15´53.712,093°08´30.509,1396
07,091,17°16´26.888,093°02´50.010,898
07,092,17°18´27.409,093°30´02.712,424
07,093,16°55´19.243,092°32´32.356,1875
07,094,16°38´07.000,092°34´59.901,1780
07,096,17°33´56.640,092°37´19.245,764
07,097,16°11´49.015,093°54´51.939,58
07,098,16°33´58.657,092°45´20.262,597
07,099,16°10´26.860,092°11´24.769,970
07,100,17°23´43.130,092°23´22.130,773
07,101,16°50´21.691,093°14´13.660,795
07,102,14°59´14.183,092°15´03.602,293
07,103,15°13´28.263,092°28´05.070,192
07,104,16°16´02.558,092°19´30.620,785
07,105,15°05´52.242,092°08´31.615,1278
07,106,16°28´50.560,092°51´43.240,684
07,107,16°16´17.170,093°35´20.178,729
07,108,16°30´04.128,093°43´02.768,685
