entidad,entidad_nombre,municipio,municipio_nombre,total,densidad,hombres,mujeres,porcentaje_hombres,porcentajes_mujeres,porcentaje_indigena
01,Aguascalientes,001,Aguascalientes,797010,744.58015,386429,410581,48.533499,51.466501,11.87029
01,Aguascalientes,002,Asientos,797010,744.58015,386429,410581,48.533499,51.466501,11.87029
01,Aguascalientes,003,Calvillo,45492,84.632543,22512,22980,48.951877,51.048123,3.6393767
01,Aguascalientes,004,Cosío,54136,60.08977,26250,27886,48.704682,51.295318,13.128033
01,Aguascalientes,005,Jesús María,15042,120.06421,7326,7716,48.481736,51.518264,14.206843
01,Aguascalientes,006,Pabellón de Arteaga,99590,238.43062,49090,50500,49.943939,50.056061,7.2081724
01,Aguascalientes,007,Rincón de Romos,41862,234.99413,20170,21692,48.393691,51.606309,13.409937
01,Aguascalientes,008,San José de Gracia,49156,143.18467,24067,25089,49.55445,50.44555,12.464263
01,Aguascalientes,009,Tepezalá,8443,10.26422,4043,4400,48.066547,51.933453,19.480665
01,Aguascalientes,010,El Llano,19668,90.173469,9600,10068,48.728854,51.271146,16.572685
01,Aguascalientes,011,San Francisco de los Romo,18828,39.75979,9573,9255,49.306001,50.693999,4.6233638
02,Baja California,001,Ensenada,35769,333.75113,17578,18191,49.494123,50.505877,22.056228
02,Baja California,002,Mexicali,466814,9.2726414,235130,231684,49.971334,50.028666,18.042944
02,Baja California,003,Tecate,936826,67.941022,473203,463623,49.664666,50.335334,4.6494546
02,Baja California,004,Tijuana,101079,38.108405,53323,47756,50.062496,49.937504,12.510986
02,Baja California,005,Playas de Rosarito,1559683,1330.2152,783653,776030,49.753468,50.246532,7.7132258
02,Baja California,006,San Quintín,90668,193.56968,46301,44367,49.891455,50.108545,10.198069
03,Baja California Sur,001,Comondú,70816,3.9612145,36436,34380,50.18053,49.81947,15.538008
03,Baja California Sur,002,Mulegé,70816,3.9612145,36436,34380,50.18053,49.81947,15.538008
03,Baja California Sur,003,La Paz,59114,1.8797662,30617,28497,51.709295,48.290705,15.630453
03,Baja California Sur,008,Los Cabos,251871,17.692681,126397,125474,49.130031,50.869969,12.431475
03,Baja California Sur,009,Loreto,238487,76.68039,123101,115386,51.441056,48.558944,16.240427
04,Campeche,001,Calkiní,16738,4.283016,8882,7856,51.004653,48.995347,9.1634941
04,Campeche,002,Campeche,52890,26.993776,26072,26818,48.920176,51.079824,89.555512
04,Campeche,003,Carmen,259005,87.250813,125561,133444,47.842063,52.157937,40.817242
04,Campeche,004,Champotón,221094,28.961816,110317,110777,49.147614,50.852386,24.147111
04,Campeche,005,Hecelchakán,83021,13.163973,41760,41261,49.781703,50.218297,56.350561
04,Campeche,006,Hopelchén,28306,24.504474,14093,14213,49.535703,50.464297,80.874159
04,Campeche,007,Palizada,37777,5.1542415,19306,18471,50.800499,49.199501,73.875312
04,Campeche,008,Tenabo,8352,4.1018106,4230,4122,50.406867,49.593133,27.455133
04,Campeche,009,Escárcega,9736,10.075183,5002,4734,50.811064,49.188936,90.032818
04,Campeche,010,Calakmul,54184,12.241262,26809,27375,49.333083,50.666917,36.100627
04,Campeche,011,Candelaria,26882,2.0320976,13647,13235,51.044892,48.955108,67.889811
04,Campeche,012,Seybaplaya,41194,7.7394053,20924,20270,50.311083,49.688917,37.521366
05,Coahuila de Zaragoza,001,Abasolo,1070,1.365807,531,539,50.344828,49.655172,3.3497537
05,Coahuila de Zaragoza,002,Acuña,1070,1.365807,531,539,50.344828,49.655172,3.3497537
05,Coahuila de Zaragoza,003,Allende,136755,12.893374,68350,68405,49.766929,50.233071,3.8718887
05,Coahuila de Zaragoza,004,Arteaga,22675,90.024432,11114,11561,49.452635,50.547365,1.2801271
05,Coahuila de Zaragoza,005,Candela,22544,14.230109,11540,11004,50.388896,49.611104,9.4237463
05,Coahuila de Zaragoza,006,Castaños,1808,0.8117736,939,869,52.5,47.5,4.1860465
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,25892,8.3959316,12945,12947,49.533276,50.466724,3.0212341
05,Coahuila de Zaragoza,008,Escobedo,13013,1.2692616,6565,6448,50.147645,49.852355,6.8138196
05,Coahuila de Zaragoza,009,Francisco I. Madero,2901,3.0022387,1475,1426,50.601235,49.398765,2.3724407
05,Coahuila de Zaragoza,010,Frontera,55676,20.768173,27739,27937,49.45682,50.54318,7.5651131
05,Coahuila de Zaragoza,011,General Cepeda,75215,177.04567,37561,37654,49.977158,50.022842,5.7648381
05,Coahuila de Zaragoza,012,Guerrero,11682,4.722278,6071,5611,51.631786,48.368214,8.6600914
05,Coahuila de Zaragoza,013,Hidalgo,2091,0.5798293,1115,976,52.50442,47.49558,7.6605775
05,Coahuila de Zaragoza,014,Jiménez,1852,1.3852109,955,897,51.948882,48.051118,0.5750799
05,Coahuila de Zaragoza,015,Juárez,9935,4.6539196,5041,4894,50.31729,49.68271,1.7768232
05,Coahuila de Zaragoza,016,Lamadrid,1599,0.6403282,827,772,52.223634,47.776366,1.3341804
05,Coahuila de Zaragoza,017,Matamoros,1835,2.6330249,941,894,51.043429,48.956571,2.0304569
05,Coahuila de Zaragoza,018,Monclova,107160,135.16633,53353,53807,49.693437,50.306563,9.8815971
05,Coahuila de Zaragoza,019,Morelos,216206,184.6617,107401,108805,49.206645,50.793355,6.839689
05,Coahuila de Zaragoza,020,Múzquiz,8207,13.453689,4095,4112,50.924526,49.075474,3.0584952
05,Coahuila de Zaragoza,021,Nadadores,66834,8.3371282,33465,33369,50.53544,49.46456,3.1243669
05,Coahuila de Zaragoza,022,Nava,6335,9.2300186,3186,3149,49.682492,50.317508,8.6180829
05,Coahuila de Zaragoza,023,Ocampo,27928,33.810797,14237,13691,50.859991,49.140009,4.2901818
05,Coahuila de Zaragoza,024,Parras,10991,0.4484628,5652,5339,51.752206,48.247794,7.5828978
05,Coahuila de Zaragoza,025,Piedras Negras,45401,4.21813,23062,22339,50.887297,49.112703,9.7457533
05,Coahuila de Zaragoza,026,Progreso,152806,344.82628,76404,76402,49.863993,50.136007,7.3987591
05,Coahuila de Zaragoza,027,Ramos Arizpe,3473,1.1446442,1774,1699,51.876513,48.123487,1.5133172
05,Coahuila de Zaragoza,028,Sabinas,75461,13.743359,38302,37159,50.927522,49.072478,9.4798983
05,Coahuila de Zaragoza,029,Sacramento,60847,32.1422,30247,30600,50.149554,49.850446,1.6025944
05,Coahuila de Zaragoza,030,Saltillo,2314,8.1558789,1175,1139,49.915254,50.084746,4.7457627
05,Coahuila de Zaragoza,031,San Buenaventura,725123,143.70103,359366,365757,49.579152,50.420848,7.0551566
05,Coahuila de Zaragoza,032,San Juan de Sabinas,22149,3.6608474,11044,11105,49.531522,50.468478,2.3021156
05,Coahuila de Zaragoza,033,San Pedro,41649,53.878056,20502,21147,48.63527,51.36473,4.1126943
05,Coahuila de Zaragoza,034,Sierra Mojada,102650,14.857878,51393,51257,49.259483,50.740517,6.7145899
05,Coahuila de Zaragoza,035,Torreón,6375,0.882132,3306,3069,51.287922,48.712078,2.0463652
05,Coahuila de Zaragoza,036,Viesca,639629,529.55578,312135,327494,48.570268,51.429732,8.3961442
05,Coahuila de Zaragoza,037,Villa Unión,21319,4.8955487,10762,10557,50.596315,49.403685,8.2556035
05,Coahuila de Zaragoza,038,Zaragoza,6289,3.4251293,3217,3072,51.212217,48.787783,1.4483627
06,Colima,001,Armería,12702,1.6699121,6410,6292,49.490835,50.509165,3.8168515
06,Colima,002,Colima,28695,72.404655,14456,14239,49.893577,50.106423,24.102166
06,Colima,003,Comala,146904,201.97596,71556,75348,48.30527,51.69473,15.286747
06,Colima,004,Coquimatlán,20888,68.536785,10543,10345,49.837542,50.162458,54.637022
06,Colima,005,Cuauhtémoc,19385,38.327379,9709,9676,50.376275,49.623725,2.1635806
06,Colima,006,Ixtlahuacán,27107,73.250551,13483,13624,50.31459,49.68541,16.931585
06,Colima,007,Manzanillo,5300,14.669832,2679,2621,50.189976,49.810024,74.434594
06,Colima,008,Minatitlán,161420,136.61019,81007,80413,50.049582,49.950418,22.056887
06,Colima,009,Tecomán,8174,21.655893,4196,3978,52.186978,47.813022,54.524207
06,Colima,010,Villa de Álvarez,112726,156.33717,56804,55922,49.772305,50.227695,16.44763
07,Chiapas,001,Acacoyagua,119956,474.91678,58357,61599,48.248635,51.751365,20.346691
07,Chiapas,002,Acala,16814,72.899659,8436,8378,50.226745,49.773255,6.3709767
07,Chiapas,003,Acapetahua,28947,65.311137,14473,14474,48.968941,51.031059,10.491981
07,Chiapas,004,Altamirano,27580,50.695969,13891,13689,49.820296,50.179704,8.435518
07,Chiapas,005,Amatán,29865,34.417167,15019,14846,49.656242,50.343758,87.792042
07,Chiapas,006,Amatenango de la Frontera,21275,61.241394,10791,10484,50.284267,49.715733,39.78189
07,Chiapas,007,Amatenango del Valle,29547,121.20364,14447,15100,48.379539,51.620461,22.344787
07,Chiapas,008,Ángel Albino Corzo,8728,65.176269,4183,4545,47.826087,52.173913,96.297791
07,Chiapas,009,Arriaga,26628,48.429054,13359,13269,49.240111,50.759889,4.783041
07,Chiapas,010,Bejucal de Ocampo,40042,49.661678,19534,20508,48.377125,51.622875,4.5121404
07,Chiapas,011,Bella Vista,7623,95.196746,3856,3767,49.93328,50.06672,6.4451561
07,Chiapas,012,Berriozábal,19281,94.243495,9522,9759,50.00993,49.99007,1.7426273
07,Chiapas,013,Bochil,43179,146.94936,21562,21617,49.570782,50.429218,13.7079
07,Chiapas,014,El Bosque,30642,95.828298,15219,15423,48.867046,51.132954,69.357373
07,Chiapas,015,Cacahoatán,18559,142.03794,9090,9469,48.265947,51.734053,96.907901
07,Chiapas,016,Catazajá,43811,261.79864,21417,22394,48.738869,51.261131,19.23718
07,Chiapas,017,Cintalapa,17140,27.098994,8747,8393,49.938471,50.061529,2.0568415
07,Chiapas,018,Coapilla,78114,34.604518,39239,38875,49.143331,50.856669,12.616186
07,Chiapas,019,Comitán de Domínguez,8444,59.41532,4200,4244,48.664495,51.335505,47.079262
07,Chiapas,020,La Concordia,141013,156.92513,67691,73322,47.27595,52.72405,10.361816
07,Chiapas,021,Copainalá,44082,18.043655,22120,21962,50.388967,49.611033,9.9752182
07,Chiapas,022,Chalchihuitán,21050,62.930622,10375,10675,48.5,51.5,34.325688
07,Chiapas,023,Chamula,14027,90.684407,6919,7108,49.282866,50.717134,98.774028
07,Chiapas,024,Chanal,76941,253.42566,35555,41386,45.97742,54.02258,98.86983
07,Chiapas,025,Chapultenango,10817,29.951668,5376,5441,49.634677,50.365323,98.875298
07,Chiapas,026,Chenalhó,7332,42.133259,3660,3672,50.274725,49.725275,77.472527
07,Chiapas,027,Chiapa de Corzo,36111,157.75505,17820,18291,49.114709,50.885291,98.095743
07,Chiapas,028,Chiapilla,87603,121.28916,43301,44302,48.514655,51.485345,17.513474
07,Chiapas,029,Chicoasén,5405,114.75986,2781,2624,50.2119,49.7881,14.375318
07,Chiapas,030,Chicomuselo,5018,43.351661,2516,2502,49.44,50.56,11.9
07,Chiapas,031,Chilón,31515,34.868208,15715,15800,49.52222,50.47778,2.126986
07,Chiapas,032,Escuintla,111554,76.158296,55205,56349,48.912551,51.087449,95.636131
07,Chiapas,033,Francisco León,30068,76.331885,14786,15282,49.563195,50.436805,9.9648042
07,Chiapas,034,Frontera Comalapa,7000,35.365199,3540,3460,50.363392,49.636608,91.399731
07,Chiapas,035,Frontera Hidalgo,67012,96.061987,32631,34381,48.571545,51.428455,3.80195
07,Chiapas,036,La Grandeza,12665,153.29296,6229,6436,48.466981,51.533019,3.0937847
07,Chiapas,037,Huehuetán,7272,144.93509,3649,3623,48.745926,51.254074,17.500354
07,Chiapas,038,Huixtán,33444,115.5019,16355,17089,48.66779,51.33221,0.8595825
07,Chiapas,039,Huitiupán,21507,76.019962,10599,10908,48.884656,51.115344,93.108995
07,Chiapas,040,Huixtla,22536,68.333086,11368,11168,49.732436,50.267564,70.844122
07,Chiapas,041,La Independencia,51359,137.15559,24914,26445,48.142899,51.857101,1.535007
07,Chiapas,042,Ixhuatán,41266,87.2972,20256,21010,48.702413,51.297587,13.011517
07,Chiapas,043,Ixtacomitán,10239,120.19335,5070,5169,48.977253,51.022747,61.673426
07,Chiapas,044,Ixtapa,10176,86.003411,5077,5099,49.080951,50.919049,45.72967
07,Chiapas,045,Ixtapangajoya,24517,97.456032,12121,12396,49.459519,50.540481,47.161556
07,Chiapas,046,Jiquipilas,5478,50.203396,2775,2703,50.241456,49.758544,14.598811
07,Chiapas,047,Jitotol,37818,30.053197,18758,19060,48.973382,51.026618,15.840344
